phone,email,ok,vk,vid,gaid,idfa
,example1@gmail.com,,,,751a4727-a0bd-4302-bdf4-18c40bfd6c56,3e721aea-26dc-11f0-a321-eaf2355e009b
79868305250,example2@mail.ru,51871368806,911730,16732464491,1f89da85-cab3-4806-9807-0a7362738910,3e722594-26dc-11f0-a321-eaf2355e009b
79707180992,example3@mail.ru,,627052,,e0b16094-275a-44fe-9093-669e6f5b2878,3e722800-26dc-11f0-a321-eaf2355e009b
79355532878,,,685776,,84eab94d-7810-4bcd-b564-f6d475114dfc,
,example5@yandex.ru,57269896196,,94097591044,3bcc3d64-d298-4ba8-80e9-303bfb390d58,3e72300c-26dc-11f0-a321-eaf2355e009b
79771750115,example6@gmail.com,,492970,60364101797,c8213b14-53be-4c29-80cd-3f1f38649ca6,3e723a0c-26dc-11f0-a321-eaf2355e009b
79269506097,,,,96592284280,184f8417-bd98-4b37-87c6-3aeb994bd8c3,3e723cb4-26dc-11f0-a321-eaf2355e009b
79381701527,example8@mail.ru,43950647743,,92672579655,9f15b7df-04d1-4fef-b686-c0b39465764f,
79125616993,example9@yandex.ru,69803705837,938357,,470a1b53-d508-402e-a1d9-583abbdd7ca2,
79480154326,example10@gmail.com,11404091496,238535,99459192848,ac1dcf02-ef9d-459b-a1b1-e5d031bf3936,3e723f5c-26dc-11f0-a321-eaf2355e009b
79140794938,example11@yandex.ru,72313408097,,,827fe496-0cef-43ce-ad21-04cc3bc5725c,3e724632-26dc-11f0-a321-eaf2355e009b
79156578682,,,,,,3e72488a-26dc-11f0-a321-eaf2355e009b
79929870375,example13@mail.ru,,330117,99742474464,b14ffc51-dd3d-4489-83cd-f4141a7448b5,
79537282213,example14@gmail.com,,466858,90324388226,c6427581-ce8b-4b59-ade2-c0edc08ed541,3e724a6a-26dc-11f0-a321-eaf2355e009b
79553855503,example15@yandex.ru,15920387588,827145,,73cff82e-9024-4f89-abfd-09b4567ab7f7,3e724b96-26dc-11f0-a321-eaf2355e009b
79390287037,example16@yandex.ru,,963767,65909481079,,3e724c9a-26dc-11f0-a321-eaf2355e009b
79973151375,example17@yandex.ru,64941808091,165918,39848730256,,3e724d76-26dc-11f0-a321-eaf2355e009b
79506353970,example18@gmail.com,,509988,68547253492,6250f427-ee0a-4492-8004-00b5caeb7b27,
79777246956,example19@mail.ru,80279076676,179549,31651668016,3770abd8-7720-4362-8c23-f1ac73deda59,3e724f06-26dc-11f0-a321-eaf2355e009b
79370242695,example20@yandex.ru,60418656004,325465,85268078014,,
79460663958,example21@yandex.ru,,374503,44541216000,abc990d0-043d-46d9-a0f6-3f307f107205,3e725258-26dc-11f0-a321-eaf2355e009b
79760806985,example22@yandex.ru,89151559773,,,,3e725352-26dc-11f0-a321-eaf2355e009b
,example23@mail.ru,74156463660,399472,78923260028,65178114-f187-4d27-a47c-df9413208810,3e7254a6-26dc-11f0-a321-eaf2355e009b
79581969907,,62258532749,344499,62524764069,f373c43d-8a10-4071-8059-739dddb67e22,
,example25@gmail.com,,175756,,4cb88d49-8a78-40b3-a86e-917a4ffa0dfc,
,example26@mail.ru,96761126721,261572,61655070188,,
,example27@gmail.com,,788788,89198997916,fe46d6b3-5959-4c98-b470-8eb31fa9c56b,3e725758-26dc-11f0-a321-eaf2355e009b
79883071084,example28@mail.ru,,,,5e2269e2-7043-488d-8c4a-1b7adc3de345,
79765758988,,77253853938,912535,,9fb93372-0481-4b89-bcc4-7b6704ecf362,3e725898-26dc-11f0-a321-eaf2355e009b
,example30@gmail.com,14113879544,,43772017080,a62e493a-5376-4f3d-af86-6a52fb097406,3e725ce4-26dc-11f0-a321-eaf2355e009b
79638087605,,,,11785382495,aa5aa8ce-0eda-41de-b0f0-feb9dd293ed8,3e725df2-26dc-11f0-a321-eaf2355e009b
79186701356,example32@yandex.ru,27984025367,875172,27089107806,15f831bd-16b0-418f-8759-745792683d67,3e725eec-26dc-11f0-a321-eaf2355e009b
79539642893,example33@gmail.com,92147320280,616674,78900766853,,3e725fbe-26dc-11f0-a321-eaf2355e009b
79995685296,example34@yandex.ru,67385730431,764154,87080893273,96e0aa31-3faf-4982-8633-dbdefc1e7e8c,3e7260c2-26dc-11f0-a321-eaf2355e009b
79921546004,example35@yandex.ru,,651004,41214450218,ebda13a3-6922-4b3d-a7a7-7fef1173d918,3e7261bc-26dc-11f0-a321-eaf2355e009b
,example36@gmail.com,83183412395,791388,,370239f2-6c3a-4aea-9a01-761d8a644824,3e7262b6-26dc-11f0-a321-eaf2355e009b
79117592624,example37@mail.ru,,232102,81008605735,3866e42a-9516-46fa-b540-be4759d1e3bf,
79591789154,example38@yandex.ru,,302897,75492756568,76bc252e-1d37-4e38-8694-add6e40fa84a,3e72646e-26dc-11f0-a321-eaf2355e009b
79931858358,example39@yandex.ru,41761639686,938045,,55bfb4cf-4535-4020-959a-6bdd474e8e2e,3e72655e-26dc-11f0-a321-eaf2355e009b
79526662531,example40@gmail.com,99021797981,787724,,062a9046-f3e8-4cb4-867c-5d3fb54cd438,3e7266d0-26dc-11f0-a321-eaf2355e009b
79141360612,,93469007736,238927,61391624199,04056e86-39f4-485b-88a3-334535cc539b,3e7267ca-26dc-11f0-a321-eaf2355e009b
79277067384,example42@mail.ru,14636493423,,32306164608,7e861ec2-be97-4dfc-af10-9bc5b1a04950,3e7268ba-26dc-11f0-a321-eaf2355e009b
79563863566,example43@yandex.ru,48124563904,506221,35603854358,48ab57ad-eaf8-4e34-b0d0-5a4f008fe2c2,
79593863066,example44@mail.ru,82136534285,,,128072d6-64db-4277-bfbd-a0b81299ecb0,3e726be4-26dc-11f0-a321-eaf2355e009b
,example45@yandex.ru,30823728748,,10495129643,,3e726cca-26dc-11f0-a321-eaf2355e009b
79103945109,example46@yandex.ru,82566670949,,37655283047,47b5e1a4-c20d-426e-babc-bcafe890adfa,3e726ed2-26dc-11f0-a321-eaf2355e009b
79787187838,example47@mail.ru,12546436049,186770,33588804321,,
79234882028,example48@mail.ru,,822119,,,3e726fc2-26dc-11f0-a321-eaf2355e009b
,,26834172901,,,367cd308-9334-4a62-bb22-fa9be49595e2,3e7270e4-26dc-11f0-a321-eaf2355e009b
79468647478,,38829105876,384447,32637535516,,3e7271de-26dc-11f0-a321-eaf2355e009b
79994810230,example51@yandex.ru,43037735541,892841,21187346256,bcea5ae4-3a3e-43e5-ac92-215093842b63,3e7272ce-26dc-11f0-a321-eaf2355e009b
79421816748,,32488288585,222559,45949443685,886b3093-b69a-405c-b56e-fff8a4d02a8a,3e727418-26dc-11f0-a321-eaf2355e009b
79625976769,example53@yandex.ru,27864950938,409002,97908332300,8e162120-1ab3-43a6-b2a9-ad41f0c197ff,3e727512-26dc-11f0-a321-eaf2355e009b
79995860601,example54@mail.ru,99704625454,730089,85002232391,6a9cd17e-4010-4b8e-8e1f-a36edcc7f126,3e727634-26dc-11f0-a321-eaf2355e009b
79521756245,example55@gmail.com,,,95404192163,,3e72771a-26dc-11f0-a321-eaf2355e009b
79651667942,,86027147590,300235,36309956340,cb3c474b-31c9-42e6-8217-de04288269e5,3e72780a-26dc-11f0-a321-eaf2355e009b
79469565014,example57@yandex.ru,67219187970,116789,59983182469,48151403-1bff-4b05-a7a5-6859b4d97e50,3e727904-26dc-11f0-a321-eaf2355e009b
79782341153,example58@yandex.ru,21326436557,250374,71282341366,7db9eb4f-22fd-4029-bd56-305f93acb4a2,3e727a26-26dc-11f0-a321-eaf2355e009b
79455455506,,34995605197,298106,77872391785,a94b6e9c-e634-4867-b33a-7181e5022407,
79617294224,example60@gmail.com,67745198045,,89250829081,1f44748d-d273-4ae8-b423-4c70df4c27b5,3e727eae-26dc-11f0-a321-eaf2355e009b
79178119499,example61@mail.ru,28966105861,,84896835176,bf10d642-a511-4509-b29c-2f7b61db7dcc,
,,,,42816191026,,3e7281ec-26dc-11f0-a321-eaf2355e009b
79873349403,example63@yandex.ru,23445348263,599117,96299869716,,3e7282d2-26dc-11f0-a321-eaf2355e009b
,example64@yandex.ru,,,11011438507,45b34a68-d147-4750-b5ed-93fa6c951177,3e728444-26dc-11f0-a321-eaf2355e009b
79246044470,example65@gmail.com,93946303904,642699,98116883760,,3e728548-26dc-11f0-a321-eaf2355e009b
79724172293,example66@mail.ru,,923629,75240663642,c786ee4c-eab9-43c3-baac-22a8a97743b9,3e728656-26dc-11f0-a321-eaf2355e009b
79520453713,example67@gmail.com,29343136952,662194,71435081988,16ad2c3d-94a8-4583-ae6e-3fe98cfa43de,3e728778-26dc-11f0-a321-eaf2355e009b
79771416883,,98179388625,958036,14264078886,6c033759-293c-4b6c-ade5-b46c56090ab1,
79243184766,example69@gmail.com,78286865418,334590,88419475340,,3e7288c2-26dc-11f0-a321-eaf2355e009b
,,65182299816,540262,13439669211,2b5de4b1-f941-469f-834d-70b2bde21143,3e728dcc-26dc-11f0-a321-eaf2355e009b
79698807846,example71@yandex.ru,,,51896042307,aa882403-9474-4fb2-a2ea-b425da5b2f7a,3e728fe8-26dc-11f0-a321-eaf2355e009b
79305936994,example72@gmail.com,36456629363,,15722529755,2fe5f778-5d5d-4a30-8061-c42ec3bc7786,
79864305461,example73@mail.ru,,406110,57701918090,1f18f1b7-1990-48b7-984f-2a8da25d00aa,3e729164-26dc-11f0-a321-eaf2355e009b
79816251048,,,433854,46129206371,,
79388433151,example75@mail.ru,,860116,,75a37434-7fae-4260-8c7c-3336cb82dc45,3e729272-26dc-11f0-a321-eaf2355e009b
