phone,email,ok,vk,vid,gaid,idfa
,example1@yandex.ru,,,76233539549,,b024aed8-26b8-11f0-8101-1af41de86eb3
79685332580,,10209925463,,14447765175,bb3e82a1-c4c1-42e1-942c-8318049013bd,b024b540-26b8-11f0-8101-1af41de86eb3
79357372486,example3@mail.ru,,560960,89114042333,8f694a7c-dbdc-443e-a82b-02fb07ff95d0,
79181687191,example4@yandex.ru,93799598006,,,c87b4d4f-56af-40ac-8030-1d081d8a68a8,b024c0e4-26b8-11f0-8101-1af41de86eb3
79306613030,example5@mail.ru,,137017,88339924974,,b024c4ea-26b8-11f0-8101-1af41de86eb3
79726707218,example6@mail.ru,10742842665,706541,66196709941,,
79224981936,example7@gmail.com,67975359663,212800,97741103392,51f15713-1ec8-4284-a93b-b58db4d1308d,b024cb2a-26b8-11f0-8101-1af41de86eb3
79466101225,example8@yandex.ru,52009220477,612380,50363127176,96e4cd4e-a117-4de4-a2ac-a3febbddb44c,b024dd22-26b8-11f0-8101-1af41de86eb3
,example9@yandex.ru,54792783000,,,f569340d-227c-45bb-970e-1f3fd48317e9,
79725647192,example10@yandex.ru,,951394,49508784156,e6866920-d235-417e-8011-0fe36656372b,b024ebaa-26b8-11f0-8101-1af41de86eb3
79619124702,example11@mail.ru,80384414968,863921,43474682706,a0317308-3e83-4901-b457-d5dd3cb0fc35,b024ed6c-26b8-11f0-8101-1af41de86eb3
79869345250,example12@mail.ru,,,40332868929,43e80a8f-3ed3-4e96-ba2b-71426544d7ac,
79728035234,example13@gmail.com,22436471689,,11878422870,c7e443bd-db86-4e88-b688-d41f768eb264,b024ef60-26b8-11f0-8101-1af41de86eb3
79240158592,example14@mail.ru,,796746,67445789948,3b35ff98-3add-451d-ad3a-2b2c0faa0630,b024f0be-26b8-11f0-8101-1af41de86eb3
79344805036,example15@mail.ru,45629210973,,35703960921,e56647a2-25a0-420f-b454-509595533459,b024f1e0-26b8-11f0-8101-1af41de86eb3
79187880266,example16@mail.ru,90375197797,962482,75403063331,,b024f2ee-26b8-11f0-8101-1af41de86eb3
79436339211,example17@yandex.ru,69749303355,257951,,08b86b63-b13b-4edc-8c8f-f989aadcb1ee,
79347425070,example18@yandex.ru,31728225787,349128,89274522234,,b024f488-26b8-11f0-8101-1af41de86eb3
79757066522,example19@gmail.com,20693445476,681996,60982504641,ea0b9f00-da79-443d-b262-1727d252c1d6,
79889108485,example20@mail.ru,25906912806,,41506798002,dd2d7069-cb53-40f8-9125-02bac24442fc,b024f636-26b8-11f0-8101-1af41de86eb3
79892339019,example21@yandex.ru,,,28214744809,1e09f57f-3907-4c83-a0a6-dc18f4f75099,b024f780-26b8-11f0-8101-1af41de86eb3
,example22@yandex.ru,,,,7c5da4ed-5c90-4302-81aa-22f9428aee8c,
79913538085,example23@yandex.ru,10050516466,,,,b024f884-26b8-11f0-8101-1af41de86eb3
79794255633,,22121763309,715716,54499442070,cf41e445-0fce-4b37-bd34-b4747c2834f4,b024f9ba-26b8-11f0-8101-1af41de86eb3
79309072479,example25@yandex.ru,,131325,27708848017,d9d0eb61-623c-47f0-861c-985ad8907a6c,
79646527435,example26@yandex.ru,52407120769,,21660624348,07f68b27-e3da-46b0-b0b9-472ab16712b0,b024fcf8-26b8-11f0-8101-1af41de86eb3
79493499199,example27@mail.ru,,572030,77659175923,30fcfb94-6bc0-446a-817a-6aa48bfe3818,b024fe2e-26b8-11f0-8101-1af41de86eb3
79411976186,example28@yandex.ru,64705701490,256991,,69b7ce45-633a-4475-ad06-9859dcd86b85,b024ffaa-26b8-11f0-8101-1af41de86eb3
79742679692,example29@yandex.ru,,,,66ddadbb-355b-4e03-b5e3-e2688fc73b6f,
,,,,91011648769,,b02501b2-26b8-11f0-8101-1af41de86eb3
79560816082,example31@mail.ru,20892148569,381059,71303992429,bea76ac3-67d2-47e6-be18-63456a488ab0,b02502de-26b8-11f0-8101-1af41de86eb3
79387128676,example32@yandex.ru,70889198879,,62407949115,dc021280-bb37-4b79-8757-9b9d41c300ee,
79736924812,example33@gmail.com,50231759308,,,91e0dd47-fe80-43ff-8bdd-4bd07b440426,
79349609129,,55192811904,714001,,,b0250590-26b8-11f0-8101-1af41de86eb3
79807364068,example35@mail.ru,69836944812,768430,71825313432,a40024dc-b596-4a30-8bff-8f9de881a88a,b02508c4-26b8-11f0-8101-1af41de86eb3
79203297493,example36@yandex.ru,,483650,85981399363,4bc99f24-bf30-4270-91f5-52022e074bfd,b0250a54-26b8-11f0-8101-1af41de86eb3
,,19647160361,398742,,98201222-3a96-40f0-aef7-056126750d50,b0250b80-26b8-11f0-8101-1af41de86eb3
79891460059,example38@mail.ru,14154318258,,,2e4379cb-72ef-4c0e-ac5f-15c4529ad1af,b0250cf2-26b8-11f0-8101-1af41de86eb3
79851687920,,45436329965,180247,96017972137,f6f0cf07-1e0c-4cc2-9717-83f141355f40,
79121911350,example40@mail.ru,99405770675,864498,24865602784,,b0250e5a-26b8-11f0-8101-1af41de86eb3
,example41@gmail.com,,918242,48777569630,787d3472-7b73-450e-a05f-177fe50bc7cd,b0250f90-26b8-11f0-8101-1af41de86eb3
79426124933,example42@mail.ru,70947940791,,42529492482,042f7c0d-ade2-42aa-9689-2cf72f263fd0,b02510f8-26b8-11f0-8101-1af41de86eb3
79421813731,example43@yandex.ru,43407713229,495637,23911073070,7307ca37-3aee-46ba-b791-6afe4ee85fac,
79117655951,example44@gmail.com,56180203604,168139,60952226395,,b0251364-26b8-11f0-8101-1af41de86eb3
79976028388,,16233314364,143577,42811834646,,b0251468-26b8-11f0-8101-1af41de86eb3
79156496855,,88155238270,,47979114131,36cbcd4d-bad8-484d-9b9b-e30678846d47,b02516fc-26b8-11f0-8101-1af41de86eb3
79607126736,example47@yandex.ru,42782647037,507705,81461378179,05ceca2a-854f-4940-9636-92eab268cf9f,
,example48@yandex.ru,23119454011,251552,63250749945,73f4a2fe-a0ae-4efd-86a5-703e9ae4f292,
79714168912,example49@gmail.com,27269411523,,21401840179,9a76189a-04a9-4362-81cf-1476d8d27c36,
79763265241,example50@mail.ru,11116133006,214437,14134984461,6d001db6-aa0b-4159-8a41-b158692286b8,b02519a4-26b8-11f0-8101-1af41de86eb3
79266751276,example51@mail.ru,21400688245,,,,b0251abc-26b8-11f0-8101-1af41de86eb3
